time, cpd43,LPS,TLR,P13K,AKT,FPR1,FPR2,Ca_macrophage,CALM,PP3CA,NFAT,cAMP_macrophage,Ras_macrophage,MEKK1_macrophage,ERK_macrophage,Hsp27,AP1_macrophage,CCL2,p38_macrophage,NFKB_macrophage,IL10mRNA,IL1mRNA,IL6mRNA,TNFamRNA,IL1_macrophage,IL6_macrophage,TNFa_macrophage,IL10_macrophage,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,0.15803013905072058,0.02934652986037889,0.0017213906242997971,2.097420024709978e-05,0.6321205562028824,0.6321205562028824,0.3227606135291381,0.05257380594518957,0.002656767839007595,2.688655238650651e-05,0.20141273496399054,0.3227606135291381,0.05257380594518957,0.002656767839007595,2.688655238650651e-05,0.0,0.0,0.002656767839007595,2.9212042059598165e-08,1.558448160195535e-09,1.995808167010143e-12,1.995808167010143e-12,1.995808167010143e-12,0.6321205562028823,0.6321205562028823,0.6321205562028823,2.3591286709751402e-14,
2.0,1.0,0.2161661792759915,0.07826833658438212,0.013205725179623842,0.0007524322198688585,0.8646647171039659,0.8646647171039659,0.6987278818251681,0.30824328859237926,0.0678526304917453,0.005604492171854833,0.5314475979003835,0.6987278818251681,0.30824328859237926,0.0678526304917453,0.005604492171854833,0.0,0.0,0.0678526304917453,9.401987284971821e-06,6.769022321875606e-06,1.4143474547262477e-08,1.4143474547262477e-08,1.4143474547262477e-08,0.8646647171036769,0.8646647171036769,0.8646647171036769,6.654563596294387e-09,
3.0,1.0,0.23755323325006814,0.11284635550328305,0.03110613132218687,0.0037829391466299004,0.9502129330002728,0.9502129330002728,0.8817224627600904,0.5958339710164874,0.2598050141173357,0.05923125504854021,0.7617314355715867,0.8817224627600904,0.5958339710164874,0.2598050141173357,0.05923125504854021,0.0,0.0,0.2598050141173357,0.00014261017161442855,0.0003381775120184982,1.033303019562055e-06,1.033303019562055e-06,1.033303019562055e-06,0.9502129308558581,0.9502129308558581,0.9502129308558581,2.662898819088674e-06,
4.0,1.0,0.2454210904987652,0.13194183910845053,0.04729309996101401,0.008927592517927777,0.9816843619950609,0.9816843619950609,0.9554625972191653,0.7928447210607971,0.5006299561191312,0.20434141026229818,0.8879066139147908,0.9554625972191653,0.7928447210607971,0.5006299561191312,0.20434141026229818,0.0,0.0,0.5006299561191312,0.0006544388813090652,0.0031063374278882915,1.2424149239503891e-05,1.2424149239503891e-05,1.2424149239503891e-05,0.981683946688948,0.981683946688948,0.981683946688948,8.652425950939283e-05,
5.0,1.0,0.24831551345213865,0.1413469373230816,0.05854093599388113,0.014453560922459457,0.9932620538085547,0.9932620538085547,0.9834759528729796,0.9018108358035277,0.7019767961927567,0.40859137424319586,0.9497467120134739,0.9834759528729796,0.9018108358035277,0.7019767961927567,0.40859137424319586,0.0,0.0,0.7019767961927567,0.0016269181241290185,0.012297091482671801,5.846825169210098e-05,5.846825169210098e-05,5.846825169210098e-05,0.9932494787943745,0.9932494787943745,0.9932494787943745,0.0007923972470287071,
6.0,1.0,0.2493803121662992,0.14568717552537283,0.06526602823015654,0.019001733740505712,0.997521248665197,0.997521248665197,0.9939022013125728,0.9557277089358083,0.8370119573266263,0.6072017473461313,0.978192449538424,0.9939022013125728,0.9557277089358083,0.8370119573266263,0.6072017473461313,0.0,0.0,0.8370119573266263,0.0028394262807470527,0.030331724946030515,0.00015820696095820514,0.00015820696095820514,0.00015820696095820514,0.9973915937777175,0.9973915937777175,0.9973915937777175,0.003508718713445852,
7.0,1.0,0.249772029493415,0.14760832681641048,0.06892209112741075,0.022163728227941586,0.9990881179736603,0.9990881179736603,0.997754179029246,0.9807060246546181,0.9162963474417672,0.761339790148447,0.9907554809084016,0.997754179029246,0.9807060246546181,0.9162963474417672,0.761339790148447,0.0,0.0,0.9162963474417672,0.003992915341560376,0.056266905147082005,0.0003019094850946906,0.0003019094850946906,0.0003019094850946906,0.998408014742232,0.998408014742232,0.998408014742232,0.009915537056079945,
8.0,1.0,0.24991613433292778,0.1484345278071426,0.07078509679982405,0.024125386630998943,0.9996645373317113,0.9996645373317113,0.9991734612794072,0.9917947097195962,0.95897007375176,0.8646435732539169,0.9961495313988382,0.9991734612794072,0.9917947097195962,0.95897007375176,0.8646435732539169,0.0,0.0,0.95897007375176,0.004906761333275022,0.08720524313283169,0.0004586037482121766,0.0004586037482121766,0.0004586037482121766,0.9973813520910109,0.9973813520910109,0.9973813520910109,0.020938315945743646,
9.0,1.0,0.24996914752004265,0.14878242428418284,0.07169126333690393,0.02524806436503389,0.9998765900801707,0.9998765900801707,0.9996958861398251,0.9965738798799403,0.9805901901586269,0.9272363343406289,0.9984180841516609,0.9996958861398251,0.9965738798799403,0.9805901901586269,0.9272363343406289,0.0,0.0,0.9805901901586269,0.0055431855880369255,0.12016252926421318,0.0005989122377076266,0.0005989122377076266,0.0005989122377076266,0.9942312686386302,0.9942312686386302,0.9942312686386302,0.03635085506273432,
